,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-06-18,30.0,31.5,28.5,31.5,31.5,7006229
1,2018-06-19,32.700001,33.049999,31.0,32.599998,32.599998,2895692
2,2018-06-20,31.5,32.200001,31.0,31.0,31.0,1115553
3,2018-06-21,29.450001,30.0,29.450001,29.65,29.65,2854524
4,2018-06-22,28.200001,29.799999,28.200001,29.450001,29.450001,1612972
5,2018-06-25,30.0,30.0,28.5,28.950001,28.950001,365859
6,2018-06-26,28.799999,29.4,27.549999,28.799999,28.799999,493868
7,2018-06-27,28.299999,28.299999,27.4,27.4,27.4,133412
8,2018-06-28,26.049999,26.049999,26.049999,26.049999,26.049999,61587
9,2018-06-29,24.75,27.35,24.75,26.799999,26.799999,1158865
10,2018-07-02,27.200001,27.25,22.799999,25.200001,25.200001,1369795
11,2018-07-03,26.950001,26.950001,24.5,26.35,26.35,519628
12,2018-07-04,26.0,29.950001,25.799999,29.6,29.6,1033451
13,2018-07-05,29.799999,31.950001,28.6,29.799999,29.799999,1546192
14,2018-07-06,29.0,30.9,28.85,30.35,30.35,523472
15,2018-07-09,30.450001,31.4,29.549999,30.950001,30.950001,616718
16,2018-07-10,30.549999,31.85,30.25,31.1,31.1,492511
17,2018-07-11,31.049999,33.400002,30.6,31.950001,31.950001,1610144
18,2018-07-12,31.799999,32.900002,30.950001,31.1,31.1,524503
19,2018-07-13,32.5,32.700001,31.200001,31.450001,31.450001,770830
20,2018-07-16,32.400002,32.400002,30.85,31.1,31.1,696778
21,2018-07-17,31.65,31.85,30.950001,31.450001,31.450001,557931
22,2018-07-18,31.5,31.75,29.549999,29.75,29.75,497514
23,2018-07-19,29.799999,30.4,28.1,29.700001,29.700001,469529
24,2018-07-20,29.950001,35.599998,29.5,35.400002,35.400002,5891772
25,2018-07-23,37.900002,42.450001,37.099998,42.450001,42.450001,2766587
26,2018-07-24,45.849998,46.650002,45.0,46.650002,46.650002,1510186
27,2018-07-25,50.700001,51.299999,47.099998,51.299999,51.299999,868232
28,2018-07-26,55.799999,56.400002,48.0,52.900002,52.900002,6847468
29,2018-07-27,54.5,54.799999,51.150002,52.349998,52.349998,1425686
30,2018-07-30,52.799999,57.549999,52.799999,57.549999,57.549999,2011508
